0.5f, 0.40844727f, 0.39424133f, 0.3859024f, 0.37992096f, 0.37467957f, 0.37058973f, 0.36694717f, 0.3635292f, 0.3606987f, 
0.1902051f, 0.19012177f, 0.19003773f, 0.18995577f, 0.18987301f, 0.1897887f, 0.18970323f, 0.1896205f, 0.189536f, 0.18945397f, 
0.18937454f, 0.18929155f, 0.18920743f, 0.18912548f, 0.18904173f, 0.1889584f, 0.18887538f, 0.18879557f, 0.18870991f, 0.18863061f, 
0.18854317f, 0.18846244f, 0.18838215f, 0.18829858f, 0.18821478f, 0.18813407f, 0.18804914f, 0.1879636f, 0.18787903f, 0.1877985f, 
0.18771414f, 0.18762766f, 0.18754697f, 0.18746799f, 0.18738413f, 0.1873039f, 0.18722391f, 0.18714324f, 0.18706375f, 0.18698049f, 
0.1869008f, 0.18681735f, 0.1867429f, 0.18666089f, 0.18657917f, 0.18649726f, 0.18641722f, 0.1863333f, 0.18625307f, 0.18617272f, 
0.1860919f, 0.18601292f, 0.18593547f, 0.18585533f, 0.18576908f, 0.18568945f, 0.18560892f, 0.18553185f, 0.18545175f, 0.18537161f, 
0.18528819f, 0.18520927f, 0.18512988f, 0.18505046f, 0.18496996f, 0.18488687f, 0.18481109f, 0.18473133f, 0.18465185f, 0.18457487f, 
0.18449411f, 0.1844104f, 0.18433082f, 0.1842525f, 0.18416977f, 0.18409014f, 0.18401378f, 0.18393564f, 0.18385553f, 0.18378091f, 
0.18370384f, 0.18362801f, 0.18355f, 0.1834788f, 0.18339813f, 0.18331818f, 0.1832391f, 0.18315864f, 0.1830818f, 0.18300325f, 
0.18292832f, 0.1828506f, 0.18277454f, 0.18269622f, 0.18261755f, 0.18253756f, 0.1824547f, 0.18237919f, 0.18230426f, 0.18222776f, 
0.18214971f, 0.1820752f, 0.18199712f, 0.18191981f, 0.18184114f, 0.18176344f, 0.18168831f, 0.18160999f, 0.18153542f, 0.18145633f, 
0.18138349f, 0.18130481f, 0.18122797f, 0.18115121f, 0.18107134f, 0.1809895f, 0.1809142f, 0.18083823f, 0.18077004f, 0.18069327f, 
0.18061846f, 0.18054593f, 0.18047142f, 0.18039536f, 0.18031695f, 0.18023753f, 0.18015726f, 0.1800816f, 0.1800034f, 0.17992601f, 
0.1798507f, 0.17977965f, 0.17970157f, 0.17962837f, 0.17955565f, 0.17947859f, 0.17940271f, 0.1793251f, 0.17924905f, 0.17917141f, 
0.17909443f, 0.17901766f, 0.1789397f, 0.17886865f, 0.17879035f, 0.17871544f, 0.17864114f, 0.17857069f, 0.17849576f, 0.17841995f, 
0.17834687f, 0.1782713f, 0.17819345f, 0.17811829f, 0.17804274f, 0.17797315f, 0.17789984f, 0.17782491f, 0.17775142f, 0.17767692f, 
0.17760205f, 0.17752427f, 0.17745206f, 0.17737937f, 0.17730641f, 0.17722718f, 0.17715418f, 0.17708164f, 0.1770097f, 0.17694068f, 
0.17686462f, 0.17678505f, 0.17671394f, 0.17663991f, 0.17656875f, 0.17649764f, 0.1764245f, 0.17635038f, 0.17627512f, 0.17620122f, 
0.17612648f, 0.17605507f, 0.1759814f, 0.17590854f, 0.17583632f, 0.17576599f, 0.17569607f, 0.17562318f, 0.17555201f, 0.17547774f, 
0.1754052f, 0.17533517f, 0.17526436f, 0.17519245f, 0.17511833f, 0.17504543f, 0.17497197f, 0.17489827f, 0.17482734f, 0.17475548f, 
0.17468321f, 0.17460969f, 0.17453492f, 0.17446345f, 0.1743908f, 0.17431831f, 0.1742472f, 0.17417759f, 0.17410849f, 0.17403781f, 
0.17396665f, 0.1738972f, 0.1738267f, 0.17375737f, 0.17368859f, 0.17362082f, 0.17355072f, 0.173478f, 0.17340603f, 0.17334247f, 
0.17327356f, 0.17320216f, 0.17313111f, 0.17306328f, 0.17299676f, 0.17292324f, 0.17285126f, 0.17277992f, 0.17271054f, 0.17264175f, 
0.17256972f, 0.17249984f, 0.1724329f, 0.17235911f, 0.17228985f, 0.17221743f, 0.1721454f, 0.17207682f, 0.17200732f, 0.17194006f, 
0.1718688f, 0.17179668f, 0.17172691f, 0.17165545f, 0.17158955f, 0.17152244f, 0.17145127f, 0.17138258f, 0.17131281f, 0.17124635f, 
0.17117953f, 0.17111099f, 0.17104203f, 0.17097366f, 0.17090607f, 0.17083943f, 0.17076916f, 0.17070091f, 0.17063373f, 0.17056835f, 
0.17050117f, 0.1704324f, 0.17036325f, 0.17029417f, 0.17022711f, 0.17015898f, 0.1700932f, 0.17002252f, 0.16995865f, 0.1698907f, 
0.16982156f, 0.16975188f, 0.16967905f, 0.16961199f, 0.1695405f, 0.16947109f, 0.16940148f, 0.16933408f, 0.16926458f, 0.16919667f, 
0.16912794f, 0.1690595f, 0.16899204f, 0.16892517f, 0.16885296f, 0.16878164f, 0.16871369f, 0.16864628f, 0.16858035f, 0.16851489f, 
0.1684472f, 0.16838205f, 0.16831273f, 0.16824508f, 0.1681785f, 0.16810864f, 0.16804409f, 0.16797996f, 0.16791546f, 0.16784954f, 
0.16778359f, 0.16771394f, 0.16765141f, 0.16758764f, 0.16752356f, 0.16745472f, 0.16739035f, 0.16732205f, 0.16725469f, 0.16718782f, 
0.16711909f, 0.16705409f, 0.16698603f, 0.16692066f, 0.1668539f, 0.1667855f, 0.16672063f, 0.16665703f, 0.1665937f, 0.16652548f, 
0.16645795f, 0.1663914f, 0.16632736f, 0.16626519f, 0.16619977f, 0.1661347f, 0.16607076f, 0.16600716f, 0.1659435f, 0.16587925f, 
0.16581112f, 0.16574591f, 0.16567999f, 0.16561577f, 0.16555297f, 0.16548744f, 0.16542396f, 0.16536027f, 0.16529542f, 0.16522992f, 
0.16516685f, 0.165099f, 0.16503277f, 0.16497087f, 0.16490269f, 0.16483772f, 0.16477275f, 0.16471344f, 0.16465254f, 0.16458821f, 
0.16452348f, 0.16445959f, 0.16439176f, 0.16432498f, 0.16426158f, 0.16419882f, 0.16413385f, 0.16407144f, 0.16400743f, 0.16394082f, 
0.16388106f, 0.16381902f, 0.16375479f, 0.16368943f, 0.1636213f, 0.16355574f, 0.16349423f, 0.16343203f, 0.16337049f, 0.16330934f, 
0.16324678f, 0.16318691f, 0.16312718f, 0.16306561f, 0.16300386f, 0.16294384f, 0.1628786f, 0.16281544f, 0.16275474f, 0.16268992f, 
0.16262878f, 0.16256267f, 0.16249943f, 0.16243672f, 0.16237319f, 0.16231051f, 0.16224983f, 0.16218911f, 0.16212383f, 0.16206059f, 
0.1619994f, 0.16193712f, 0.16187686f, 0.16181281f, 0.16175306f, 0.16169012f, 0.16163075f, 0.16156787f, 0.16150689f, 0.16144598f, 
0.16138127f, 0.16131845f, 0.16125959f, 0.16119719f, 0.16113985f, 0.16107786f, 0.16101342f, 0.16095206f, 0.16089058f, 0.16082716f, 
0.1607655f, 0.1607014f, 0.16064125f, 0.16058287f, 0.16051984f, 0.1604582f, 0.1603961f, 0.16033557f, 0.16027182f, 0.16020691f, 
0.16014485f, 0.16008145f, 0.16001642f, 0.15995711f, 0.15989703f, 0.15983579f, 0.15977299f, 0.15971038f, 0.15964842f, 0.15958744f, 
0.15952647f, 0.15946501f, 0.15940428f, 0.15934344f, 0.15928471f, 0.15921962f, 0.15916163f, 0.15910074f, 0.15903996f, 0.15897936f, 
0.15891933f, 0.1588602f, 0.15879387f, 0.15873273f, 0.15867126f, 0.15861231f, 0.15854979f, 0.15849018f, 0.15842775f, 0.15836984f, 
0.15830979f, 0.15825242f, 0.15818939f, 0.15812862f, 0.15806699f, 0.15800658f, 0.15794325f, 0.15788314f, 0.1578219f, 0.15776184f, 
0.15770179f, 0.15763971f, 0.157579f, 0.15751952f, 0.15745872f, 0.15739894f, 0.1573398f, 0.15727937f, 0.15722132f, 0.15716112f, 
0.15710378f, 0.1570425f, 0.15697968f, 0.15692025f, 0.15685922f, 0.1568018f, 0.15674238f, 0.15668352f, 0.1566242f, 0.15656587f, 
0.15650648f, 0.1564495f, 0.15639237f, 0.15632796f, 0.1562671f, 0.15620524f, 0.15614486f, 0.1560877f, 0.15603209f, 0.15597343f, 
0.15591201f, 0.15585184f, 0.15579331f, 0.15573192f, 0.15567029f, 0.15561292f, 0.15555501f, 0.1554943f, 0.15543735f, 0.15537998f, 
0.15531738f, 0.15526062f, 0.15520081f, 0.15513957f, 0.15507925f, 0.15502357f, 0.15496644f, 0.15490729f, 0.15484715f, 0.1547895f, 
0.1547279f, 0.15466893f, 0.15461013f, 0.15455154f, 0.15449396f, 0.15443844f, 0.1543774f, 0.15431929f, 0.154262f, 0.15420198f, 
0.1541449f, 0.15408623f, 0.15402883f, 0.15397108f, 0.15391159f, 0.15385255f, 0.15379506f, 0.15373707f, 0.1536805f, 0.1536231f, 
0.15356463f, 0.15350646f, 0.1534482f, 0.15339276f, 0.1533329f, 0.1532774f, 0.15322173f, 0.15316367f, 0.15310645f, 0.15304872f, 
0.15299287f, 0.15293157f, 0.15287426f, 0.15281749f, 0.1527592f, 0.15270168f, 0.15264314f, 0.15259063f, 0.15253633f, 0.15247907f, 
0.15242362f, 0.15236592f, 0.15231097f, 0.15225637f, 0.15219909f, 0.15214205f, 0.15208542f, 0.1520248f, 0.15196776f, 0.15191042f, 
0.15185368f, 0.15179726f, 0.15173647f, 0.15167832f, 0.15161861f, 0.15156353f, 0.15150845f, 0.1514532f, 0.15139937f, 0.15134186f, 
0.15128422f, 0.15122855f, 0.15117083f, 0.15111464f, 0.15105867f, 0.15100169f, 0.1509456f, 0.15089089f, 0.15083203f, 0.15077713f, 
0.15072244f, 0.15066603f, 0.15060917f, 0.15055084f, 0.15049267f, 0.15043342f, 0.1503768f, 0.1503222f, 0.15026796f, 0.15021223f, 
0.15015686f, 0.15010154f, 0.15004292f, 0.14998707f, 0.14993319f, 0.1498779f, 0.14982527f, 0.14977098f, 0.1497162f, 0.14966056f, 
0.14960414f, 0.14954737f, 0.14949304f, 0.14943528f, 0.14937806f, 0.14932278f, 0.14926773f, 0.14920935f, 0.14915574f, 0.14909899f, 
0.1490438f, 0.1489886f, 0.14893416f, 0.14887601f, 0.14882171f, 0.14876825f, 0.14870924f, 0.14865363f, 0.14859834f, 0.1485436f, 
0.14849022f, 0.14843228f, 0.14837825f, 0.14832294f, 0.14826798f, 0.14821291f, 0.14815779f, 0.1481033f, 0.1480475f, 0.14799285f, 
0.1479398f, 0.14788604f, 0.14783046f, 0.14777285f, 0.14771868f, 0.147663f, 0.14760871f, 0.14755443f, 0.14750037f, 0.14744532f, 
0.14738974f, 0.14733434f, 0.14728153f, 0.14722732f, 0.14717013f, 0.14711311f, 0.14705777f, 0.1470049f, 0.14694858f, 0.14689468f, 
0.14683697f, 0.14678204f, 0.14672661f, 0.14666882f, 0.14661121f, 0.14655554f, 0.14649928f, 0.14644352f, 0.14638889f, 0.14633563f, 
0.14628178f, 0.14622808f, 0.14617726f, 0.14612511f, 0.14606917f, 0.14601475f, 0.14596015f, 0.14590621f, 0.14585048f, 0.14579606f, 
0.14574236f, 0.14568889f, 0.14563823f, 0.1455853f, 0.14553148f, 0.14548308f, 0.1454286f, 0.14537287f, 0.14532125f, 0.14526612f, 
0.14521354f, 0.1451571f, 0.14510143f, 0.14504708f, 0.14499378f, 0.14494158f, 0.14488894f, 0.14483345f, 0.14477798f, 0.14472398f, 
0.1446707f, 0.1446172f, 0.14456272f, 0.14450857f, 0.1444532f, 0.14440215f, 0.1443466f, 0.14429401f, 0.14423847f, 0.14418465f, 
0.1441308f, 0.14407799f, 0.14402571f, 0.14397301f, 0.14391766f, 0.14386448f, 0.14381127f, 0.14375743f, 0.14370519f, 0.14365125f, 
0.14359641f, 0.14354658f, 0.14349484f, 0.14344078f, 0.14338768f, 0.14333451f, 0.14328206f, 0.14323008f, 0.14317834f, 0.14312392f, 
0.14307308f, 0.14302239f, 0.14296867f, 0.14291535f, 0.14286065f, 0.1428073f, 0.14275374f, 0.14270142f, 0.14264926f, 0.14259672f, 
0.14254457f, 0.14249128f, 0.14244093f, 0.14238837f, 0.14233476f, 0.14228034f, 0.14222898f, 0.14217642f, 0.1421245f, 0.14206985f, 
0.14201751f, 0.14196122f, 0.14190978f, 0.141855f, 0.14180219f, 0.14174604f, 0.14169064f, 0.14163601f, 0.14158249f, 0.14152989f, 
0.14147967f, 0.14142764f, 0.14137158f, 0.14131641f, 0.14126444f, 0.14121282f, 0.14115992f, 0.1411061f, 0.14105046f, 0.1409986f, 
0.14094418f, 0.14089003f, 0.14083686f, 0.14078385f, 0.1407299f, 0.14067669f, 0.14062655f, 0.14057434f, 0.140522f, 0.14046848f, 
0.14041658f, 0.14036354f, 0.14031005f, 0.14025617f, 0.14020279f, 0.14014995f, 0.1400972f, 0.14004493f, 0.13999069f, 0.13994086f, 
0.13988554f, 0.13983127f, 0.13978028f, 0.13972582f, 0.13967252f, 0.13962016f, 0.13956988f, 0.13951588f, 0.13946676f, 0.13941479f, 
0.13936305f, 0.1393117f, 0.13925922f, 0.1392079f, 0.13915619f, 0.13910288f, 0.13905005f, 0.13899565f, 0.1389429f, 0.13889186f, 
0.13883735f, 0.13878608f, 0.13873589f, 0.13868293f, 0.13863267f, 0.13858241f, 0.13852933f, 0.13847898f, 0.13842773f, 0.13837504f, 
0.1383236f, 0.13826853f, 0.13821566f, 0.13816345f, 0.13811028f, 0.13805872f, 0.1380082f, 0.1379576f, 0.13790786f, 0.1378572f, 
0.13780388f, 0.13775007f, 0.13769561f, 0.13764635f, 0.13759613f, 0.13754472f, 0.13749665f, 0.137447f, 0.13739613f, 0.13734654f, 
0.13729542f, 0.13724184f, 0.13719136f, 0.13713941f, 0.13708663f, 0.13703495f, 0.13698518f, 0.13693309f, 0.1368801f, 0.13683033f, 
0.13677949f, 0.13672683f, 0.13667798f, 0.13662668f, 0.13657463f, 0.13651922f, 0.13646671f, 0.13641587f, 0.13636303f, 0.13630939f, 
0.13625538f, 0.136204f, 0.13615222f, 0.13610196f, 0.13605094f, 0.13599735f, 0.13594604f, 0.13589507f, 0.13584283f, 0.13579014f, 
0.13573748f, 0.13568342f, 0.13563216f, 0.13558185f, 0.13553128f, 0.13548034f, 0.13543001f, 0.13537812f, 0.13532318f, 0.13527304f, 
